id_trabajador,nombre_completo,identificacion,tipo_persona,telefono,email,id_barrio,direccion,anos_experiencia,calificacion_promedio,disponibilidad,cobertura_km,tiene_arl,fecha_registro
166,Luisa Jiménez Torres,56294407-7,PN,3116168814,luisa.jiménez382@empresa.com.co,24,Calle 28 #94-114,5,4.84,HOY,8,True,2025-08-10
167,Luisa Reyes Torres,73701495-5,SAS,3229813089,,39,Calle 120 #76-97,5,4.34,PROGRAMADA,8,True,2025-09-13
168,Diego López Torres,84338760-0,Persona Natural,3131708550,diego.lópez853@hotmail.com,13,Transversal 107 #75-39,0,4.33,INMEDIATA,3,True,2025-06-02
169,Andrés Suárez Suárez,96541691-1,SAS,3051477187,andrés.suárez428@outlook.com,8,Transversal 64 #9-77,5,3.64,PROGRAMADA,10,False,2025-10-01
170,Laura García Hernández,88068345-5,Ltda,3003451774,laura.garcía866@gmail.com,24,Carrera 46 #21-7,5,4.82,HOY,3,True,2025-09-06
171,Juan Rubio Acosta,32432603-3,PN,3146412444,juan.rubio784@hotmail.com,13,Transversal 35 #88-90,5,4.09,PROGRAMADA,8,False,2025-04-27
172,Santiago Torres Hernández,23746292-2,Ltda,3053593001,santiago.torres422@empresa.com.co,24,Carrera 102 #115-72,0,3.68,PROGRAMADA,12,True,2025-10-20
173,Jorge Castro Gómez,74359847-7,SAS,3116227335,jorge.castro839@gmail.com,5,Carrera 105 #57-114,10,4.25,HOY,5,True,2025-05-01
174,Sofía López Torres,26823411-1,SAS,3053184699,,45,Diagonal 89 #98-101,6,4.36,HOY,10,True,2025-05-21
175,Santiago Reyes Rodríguez,18891570-0,Ltda,3101172342,santiago.reyes122@empresa.com.co,4,Calle 118 #78-27,3,4.13,PROGRAMADA,8,True,2025-05-31
176,Diego Rojas Rubio,86535694-4,SAS,3012662717,diego.rojas876@hotmail.com,23,Calle 68 #28-92,7,4.68,PROGRAMADA,3,False,2025-05-19
177,Santiago Suárez Hernández,57623448-8,PN,3128115080,santiago.suárez451@hotmail.com,24,Carrera 53 #15-98,8,4.28,INMEDIATA,12,True,2025-07-25
178,Valentina Rodríguez Moreno,48065683-3,PN,3136234607,valentina.rodríguez506@outlook.com,6,Diagonal 29 #71-53,4,5,INMEDIATA,3,False,2025-08-23
179,Felipe Hernández Moreno,68795196-6,PN,3142426162,felipe.hernández689@empresa.com.co,1,Diagonal 52 #89-76,12,4.18,INMEDIATA,3,True,2025-06-13
180,Pedro Acosta Suárez,47382097-7,Persona Natural,3215579723,pedro.acosta239@gmail.com,26,Diagonal 46 #61-86,2,3.99,HOY,12,True,2025-08-18
181,Ana Ramírez Gómez,23368540-0,SAS,3201886716,ana.ramírez237@empresa.com.co,32,Diagonal 87 #4-23,1,4.81,INMEDIATA,8,True,2025-05-18
182,Santiago Suárez Suárez,77752405-5,Persona Natural,3106764913,santiago.suárez301@hotmail.com,30,Calle 98 #5-56,7,4.13,HOY,8,False,2025-08-15
183,Carlos Rodríguez Suárez,67805041-1,SAS,3026242203,carlos.rodríguez906@outlook.com,12,Diagonal 98 #15-73,3,3.65,PROGRAMADA,12,True,2025-08-23
184,Diana Rubio Reyes,60707149-9,Persona Natural,3156918393,diana.rubio270@empresa.com.co,4,Transversal 42 #8-4,4,4.16,HOY,8,False,2025-09-20
185,Paula Moreno Jiménez,57146562-2,Ltda,3005097480,paula.moreno354@empresa.com.co,7,Transversal 76 #11-117,2,3.37,INMEDIATA,8,True,2025-09-08
186,Carlos Castro Ramírez,12738346-6,Persona Natural,3208880256,carlos.castro582@empresa.com.co,43,Transversal 49 #74-50,5,4.5,HOY,3,True,2025-06-15
187,Laura Rubio Rojas,68517739-9,Ltda,3059337466,laura.rubio171@outlook.com,49,Calle 108 #109-69,6,4.68,HOY,12,True,2025-06-20
188,Juan Reyes Reyes,81278157-7,PN,3138165647,juan.reyes280@outlook.com,7,Calle 84 #106-39,2,4.29,PROGRAMADA,12,True,2025-08-08
189,Camilo Acosta Gómez,94267786-6,SAS,3209660803,camilo.acosta688@empresa.com.co,33,Diagonal 28 #85-106,5,3.74,PROGRAMADA,12,False,2025-08-13
190,Carlos Rubio Pérez,30196097-7,SAS,3206037789,carlos.rubio474@outlook.com,13,Diagonal 41 #111-107,10,3.92,HOY,8,False,2025-10-06
191,Camilo Acosta López,35758531-1,PN,3005120259,camilo.acosta245@empresa.com.co,16,Transversal 60 #63-72,10,4.27,INMEDIATA,5,True,2025-05-28
192,Camilo Ramírez Suárez,12672106-6,PN,3002408104,camilo.ramírez660@hotmail.com,43,Transversal 111 #9-116,14,4.0,PROGRAMADA,15,False,2025-08-03
193,Sofía García Suárez,22112987-7,Ltda,3053051464,sofía.garcía535@gmail.com,37,Transversal 43 #107-75,5,3.4,PROGRAMADA,5,False,2025-06-18
194,Ana Hernández Ramírez,89118793-3,Persona Natural,3009226851,ana.hernández451@outlook.com,14,Calle 41 #70-55,3,4.36,HOY,5,True,2025-07-27
195,María Acosta Ramírez,84185883-3,SAS,3126188664,maría.acosta708@gmail.com,3,Transversal 116 #104-88,11,5.0,HOY,10,True,2025-08-02
196,Andrés Martínez Hernández,68900892-2,SAS,3166321470,andrés.martínez305@hotmail.com,49,Diagonal 102 #5-36,10,3.61,HOY,10,True,2025-07-18
197,Ana Hernández Rojas,66488286-6,PN,3156482263,ana.hernández519@outlook.com,45,Calle 98 #7-83,2,3.75,PROGRAMADA,5,True,2025-06-14
198,Andrés Vargas Pérez,79305456-6,SAS,3203182597,andrés.vargas114@gmail.com,37,Diagonal 102 #41-58,0,4.41,HOY,5,True,2025-07-16
199,Pedro Martínez Moreno,86556525-5,Persona Natural,3051347869,pedro.martínez187@outlook.com,27,Carrera 117 #12-60,7,5,INMEDIATA,3,True,2025-08-11
200,Camilo López Gómez,80576741-1,PN,3128611954,camilo.lópez175@outlook.com,6,Diagonal 16 #29-92,8,5,HOY,8,True,2025-07-30
201,Jorge Sánchez Sánchez,66147435-5,Ltda,3027853897,jorge.sánchez844@hotmail.com,39,Calle 38 #34-31,0,3.57,HOY,12,True,2025-08-19
202,María Suárez Sánchez,61471888-8,Persona Natural,3208101643,maría.suárez998@outlook.com,9,Transversal 10 #13-72,9,4.46,INMEDIATA,10,False,2025-09-26
203,Carolina Rodríguez Torres,62975309-9,Persona Natural,3167222689,carolina.rodríguez517@outlook.com,1,Calle 75 #23-34,8,4.81,HOY,10,True,2025-07-14
204,Jorge López López,77002914-4,PN,3225714408,jorge.lópez321@gmail.com,17,Diagonal 37 #116-113,5,5,HOY,12,True,2025-06-05
205,Laura López López,17323881-1,SAS,3054072601,laura.lópez55@empresa.com.co,36,Transversal 21 #91-60,6,4.94,HOY,3,True,2025-09-14
206,Mónica Suárez Martínez,37344675-5,Ltda,3225766683,mónica.suárez127@hotmail.com,8,Carrera 96 #66-106,4,5,PROGRAMADA,5,True,2025-04-25
207,Diego Hernández García,54111700-0,Persona Natural,3005769447,diego.hernández253@gmail.com,27,Calle 51 #48-76,7,4.2,HOY,5,True,2025-08-19
208,Laura Castro Vargas,15885044-4,PN,3168601790,laura.castro609@outlook.com,41,Carrera 28 #111-7,7,3.91,INMEDIATA,15,True,2025-09-25
209,Juan Moreno Martínez,12753078-8,Persona Natural,3224493397,juan.moreno246@hotmail.com,17,Diagonal 37 #83-97,8,4.22,HOY,10,False,2025-07-12
210,Carolina López Rubio,36826266-6,Ltda,3138473283,carolina.lópez853@gmail.com,23,Diagonal 35 #73-77,0,4.69,HOY,12,True,2025-10-02
211,Juan Rodríguez Pérez,96920825-5,Persona Natural,3163601637,juan.rodríguez997@outlook.com,33,Calle 38 #60-56,12,4.73,HOY,5,False,2025-10-16
212,Sofía Rubio Cortés,20272020-0,PN,3231756566,sofía.rubio583@outlook.com,28,Diagonal 53 #13-60,3,3.75,HOY,8,True,2025-05-14
213,María García Moreno,16074522-2,SAS,3017983542,maría.garcía184@empresa.com.co,48,Transversal 41 #76-93,0,4.51,PROGRAMADA,8,True,2025-06-10
214,Diana Martínez Jiménez,81722733-3,PN,3001098097,diana.martínez893@outlook.com,48,Calle 22 #84-62,2,4.43,PROGRAMADA,15,True,2025-08-26
215,Carolina Acosta Martínez,26789227-7,Ltda,3021232799,carolina.acosta824@empresa.com.co,24,Calle 90 #25-110,10,4.4,INMEDIATA,15,True,2025-10-01
216,Pedro Martínez Jiménez,12928205-5,Persona Natural,3013786787,pedro.martínez152@empresa.com.co,20,Diagonal 63 #61-3,9,3.79,INMEDIATA,8,True,2025-08-02
217,Paula Gómez Reyes,89972230-0,Persona Natural,3205878387,paula.gómez426@empresa.com.co,7,Diagonal 63 #66-76,4,3.14,HOY,5,True,2025-09-06
218,Jorge Reyes Suárez,25695520-0,Persona Natural,3136817736,jorge.reyes275@gmail.com,21,Diagonal 3 #21-37,5,3.74,HOY,5,True,2025-09-21
219,Paula Acosta Moreno,65950146-6,Ltda,3227044085,paula.acosta135@empresa.com.co,46,Carrera 80 #27-37,5,4.1,HOY,5,True,2025-06-03
220,Laura García Sánchez,84736526-6,SAS,3001304180,laura.garcía311@empresa.com.co,27,Transversal 46 #87-21,9,5,PROGRAMADA,3,False,2025-07-19
